animeTitle	b'Kunoichi Botan'
animeType	b'ONA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.77
animeUsers	610
animeRank	
animePopularity	
animeDescription	"b'One night in a merchant\'s mansion, a kunoichi (female ninja) named Yasuzu\nis violated by a group of men under the effect of ""Aura of Ogre"", called ""Demi-Ogre"".\nAlthough she had kept her virginity, the Demi-Ogres keeps sexually tormenting Yasuzu.\nNow the only thing Yasuzu can think about is her senior kunoichi Botan who she has longed for.\n\nAt that time, Botan is sneaking into the merchant\'s mansion. Together with two of ""herselves""\nwhich she created by her signature art of ninja ""Kagebunshin"", she beats watchmen down.\nThere comes, however, the merchant carrying Yasuzu who has totally been screwed up.\nBotan and two of herselves get caught by Demi-Ogres in an off-guard moment...\n\n(Source: DLSite)'"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
