animeTitle	Reinou Tantei Miko
animeType	OVA
animeNumEpisode	2
releaseDate	2000-08-25 00:00:00
endDate	2001-05-04 00:00:00
animeNumMembers	
animeScore	5.74
animeUsers	485
animeRank	
animePopularity	9755
animeDescription	Jinguuji Miko and her male assistant Kanda Rokuro hunt phantoms together. The phantoms invade peoples bodies and control them. Trained as a skilled Phantom Hunter Miko must use exorcism to send the phantoms back to where ever they came from.
animeRelated	['Kaisoku Tantei Miko']
animeCharacters	['Jinguuji, Miko', 'Kayano', 'Mao', 'Ryougetsuin, Azusa', 'Sensei', 'Kanda, Rokuro']
animeVoices	['Yamaguchi, Kappei']
animeStaff	[['Furuhashi, Kazuhiro', 'Director'], ['Sokuza, Makoto', 'Episode Director'], ['Sekiya, Yoshihiro', 'Director of Photography'], ['Katahira, Shinji', 'Art Director']]
