animeTitle	Shiroki Tenshi-tachi no Rondo
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.72
animeUsers	736
animeRank	
animePopularity	9070
animeDescription	"Date General Hospital is a place unlike any other. The staff is equipped with ""special nurses"" that aim to meet the needs of any willing and able patient around. This hand selected group of sexual girls are taken under the wing of Dr. Date who upon giving the women his secret stamina drug lets the patients, nurses, and even himself feel pleasure like they have never have before.

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
