animeTitle	Shimai Ijiri
animeType	OVA
animeNumEpisode	2
releaseDate	1999-12-17 00:00:00
endDate	2000-03-17 00:00:00
animeNumMembers	1546
animeScore	5.66
animeUsers	446
animeRank	
animePopularity	10102
animeDescription	"Two sisters are orphaned, their parents left them only debts, in order to pay them and get themselves a comfortable life, they have to become slaves for a dark organization, and they begin their training under the guide of a man who uses words and reasoning as his only tools, and he is determined to make them the perfect slaves, if he succeds, he will be able to retire from that organization. 

(Source: ANN) "
animeRelated	[]
animeCharacters	['Isshiki, Miku', 'Isshiki, Yukari']
animeVoices	[]
animeStaff	[['Omata, Shinichi', 'Producer'], ['Yoneda, Mitsuhiro', 'Director, Screenplay, Character Design, Key Animation'], ['Yoshi.Hoka', 'Music']]
