animeTitle	Seisen Gakuin
animeType	OVA
animeNumEpisode	1
releaseDate	2007-06-25 00:00:00
endDate	
animeNumMembers	3171
animeScore	5.64
animeUsers	957
animeRank	
animePopularity	8231
animeDescription	"At a school in Japan, a glowing phallus-shaped artifact possesses magical powers that turn innocent girls into raging sex maniacs. When a teacher is seduced by a student, he soon finds himself endowed with a power that the girls cannot resist...

(Source: AniDB)"
animeRelated	['Eisai Kyoiku']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
