animeTitle	Pendant
animeType	OVA
animeNumEpisode	3
releaseDate	1997-08-21 00:00:00
endDate	1998-11-25 00:00:00
animeNumMembers	650
animeScore	5.24
animeUsers	138
animeRank	
animePopularity	12267
animeDescription	"Every episode of this OVA series has another story.

In the first OVA the main character Tomoya returns from America back to Japan, when he gets in trouble. His first great love - Miyuki - mistakes him for a pervert and the next thing he knows is that he's at the police station. When it turns out that it was only a misunderstanding, Miyuki wants to apologize to Tomoya, but at the same his old and pretty friend Anna is visiting him from America. One misunderstanding follows the other... A complicated, but erotic story takes its turn. "
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
