animeTitle	Under World
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.96
animeUsers	134
animeRank	
animePopularity	12741
animeDescription	"Based on the cartoon by one of the greatest Korean cartoonists Bae Keum Tack, ""Under World"" follows the adventures (and misadventures) of a orthodox-looking, but mischievous monk. The story contains satirical and critical moments."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
