animeTitle	b'Mirai Choujuu Fobia'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	4.88
animeUsers	301
animeRank	
animePopularity	
animeDescription	"b""Iijima is no ordinary coed. She's a tempestuous time traveler from a future ruled by hideous replinoid monsters. She has come to this past to find a hero, a man strong enough to wield her futuristic sword and save the women of Earth from a grisly doom!\n\n(Source: AniDB)"""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
