animeTitle	City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.41
animeUsers	2017
animeRank	
animePopularity	7033
animeDescription	City Hunter, Saeba Ryo, after months of idleness, finally scores a client and it is none other than the beautiful Mega City TV newscaster, Sayaka, who fears for her life. What's more, the enemy are her employers who are ready to resort to any means necessary to kill her. Ryo takes on the might of a TV station in a bid to save Sayaka, but finds that all is not what it seems...
animeRelated	['City Hunter: Goodbye My Sweetheart', 'City Hunter: Ryou no Propose']
animeCharacters	['Saeba, Ryou', 'Makimura, Kaori', 'Asagiri, Sayuri', 'Nogami, Saeko', 'Ijuuin, Hayato', 'Makimura, Hideyuki', 'Miki']
animeVoices	['Kamiya, Akira', 'Ikura, Kazue', 'Takayama, Minami', 'Genda, Tesshou']
animeStaff	[['Ueda, Masuo', 'Producer'], ['Okuwaki, Masaharu', 'Director'], ['Kitahata, Tooru', 'Episode Director'], ['Kishima, Nobuaki', 'Script']]
