animeTitle	b'Appleseed Saga Ex Machina'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.34
animeUsers	21213
animeRank	
animePopularity	
animeDescription	b'Deunan, a young female warrior, and Briareos, a veteran cyborg-soldier, are both partners and lovers. As members of E.S.W.A.T., the elite special forces serving Olympus, they are deployed whenever trouble strikes. The two fighters find their partnership tested in a new way by the arrival of a new member to their ranks\xe2\x80\x94an experimental Bioroid named Tereus.\n\n(Source: ANN)'
animeRelated	[b'Appleseed (Movie)']
animeCharacters	[b'Knute, Deunan', b'Briareos', b'Tereus', b'Areios, Athena', b'Hitomi', b'Nike', b'Aeacus', b'Lance', b'Yoshitsune']
animeVoices	[b'\nKobayashi, Ai\nJapanese\n', b'\nYamadera, Kouichi\nJapanese\n', b'\nKishi, Yuuji\nJapanese\n', b'\nTakashima, Gara\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nIgarashi, Rei\nJapanese\n', b'\nKong, Kuwata\nJapanese\n', b'\nTsuji, Shinpachi\nJapanese\n', b'\nKase, Yasuyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nChou, Joseph\n\nProducer\n\n', b'\nAramaki, Shinji\n\nDirector, Storyboard\n\n', b'\nTsuruoka, Youta\n\nSound Director\n\n', b'\nFoster, Steven\n\nScript, ADR Director\n\n']
