animeTitle	Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.34
animeUsers	4039
animeRank	
animePopularity	5568
animeDescription	"The gang is traveling along when they find a girl in need. Of course, they all can't resist going after her. This girl isn't all that she seems... her motive or her ""humanity"".... and soon the whole gang has Sanzo's past on their hands and one certain young boy who can keep a grudge for decades...

(Source: ANN)"
animeRelated	['Gensoumaden Saiyuuki', 'Gensoumaden Saiyuuki: Kibou no Zaika']
animeCharacters	['Genjou, Sanzou', 'Son, Gokuu', 'Cho, Hakkai', 'Sha, Gojou', 'Go, Dougan', 'Kougaiji', 'Lirin', 'Jeep', 'Yaone', 'Dokugakuji']
animeVoices	['Seki, Toshihiko', 'Hoshi, Souichirou', 'Ishida, Akira', 'Hirata, Hiroaki', 'Okiayu, Ryoutarou', 'Kusao, Takeshi', 'Morota, Kaoru', 'Minaguchi, Yuko', 'Matsumoto, Dai']
animeStaff	[['Date, Hayato', 'Director, Storyboard'], ['Foster, Steven', 'Script, ADR Director'], ['Tetsuya', 'Theme Song Lyrics, Theme Song Performance, Theme Song Composition'], ['Minekura, Kazuya', 'Original Creator']]
