animeTitle	One Piece Movie 8: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi
animeType	Movie
animeNumEpisode	1
releaseDate	2007-03-03 00:00:00
endDate	
animeNumMembers	
animeScore	7.34
animeUsers	30593
animeRank	
animePopularity	2371
animeDescription	A retelling of the Alabasta arc.
animeRelated	['One Piece', 'One Piece: Episode of Alabasta - Prologue']
animeCharacters	['Monkey D., Luffy', 'Roronoa, Zoro', 'Sanji', 'Tony Tony, Chopper', 'Usopp', 'Nami', 'Crocodile', 'Nefertari, Vivi', 'Nico, Robin', 'Bentham']
animeVoices	['Tanaka, Mayumi', 'Nakai, Kazuya', 'Hirata, Hiroaki', 'Ootani, Ikue', 'Yamaguchi, Kappei', 'Okamura, Akemi', 'Ootomo, Ryuuzaburou', 'Watanabe, Misa', 'Yamaguchi, Yuriko', 'Yao, Kazuki']
animeStaff	[['Cook, Justin', 'Producer'], ['Imamura, Takahiro', 'Director'], ['Vale, Eric', 'Script'], ['Kawashima, Ai', 'Theme Song Performance']]
