animeTitle	b'Bamboo Blade'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.32
animeUsers	36548
animeRank	
animePopularity	
animeDescription	"b""Kojirou is the kendo instructor for Muroe High School and he's totally broke. But then an unexpected chance is given to him: his team must win against his senpai's team and the prize is: free meals for a whole year! Now, the only problem left... where to find girls skilled enough and willing to join the kendo team?"""
animeRelated	[b'Bamboo Blade', b'Bamboo Blade: Fanfu-Fufe-Fo']
animeCharacters	[b'Kawazoe, Tamaki', b'Chiba, Kirino', b'Miyazaki, Miyako', b'Kuwahara, Sayako', b'Eiga, Danjuurou', b'Azuma, Satori', b'Ishida, Toraji', b'Nakata, Yuuji', b'Andou, Yuuri', b'Ishibashi, Kenzaburou']
animeVoices	[b'\nHirohashi, Ryou\nJapanese\n', b'\nToyoguchi, Megumi\nJapanese\n', b'\nKuwashima, Houko\nJapanese\n', b'\nKojima, Sachiko\nJapanese\n', b'\nIshida, Akira\nJapanese\n', b'\nSatou, Rina\nJapanese\n', b'\nKonishi, Katsuyuki\nJapanese\n', b'\nSakaguchi, Daisuke\nJapanese\n', b'\nOmimura, Mayuko\nJapanese\n', b'\nInada, Tetsu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSaitou, Hisashi\n\nDirector\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nSuzuki, Kaoru\n\nEpisode Director\n\n', b'\nIgarashi, Shishou\n\nEpisode Director, Storyboard, Series Production Director\n\n']
