animeTitle	Keroro Gunsou Movie 4: Gekishin Dragon Warriors de Arimasu!
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.3
animeUsers	1678
animeRank	
animePopularity	7729
animeDescription	"Mysterious giant beings called ""Ryū no Shippo"" (Dragon Tails) appeared across the world. Due to the danger it could bring, the Keroro Platoon did a worldwide research on the Dragon Tails, but Tamama suddenly disappeared during the research. Because of this, the whole platoon started their search for Tamama and ended up in Mont-Saint-Michel, France where they met mysterious girl named Sion, who holds the mysterious Ryū no Hon (Dragon Book). But little they know about the secrets about her and the worldwide calamity that would destroy the entire world, as they know it...

(Source: ANN)"
animeRelated	['Keroro Gunsou', 'Keroro Gunsou: KeroZero Shupattsudayo! Zeninshuugou!']
animeCharacters	['Keroro', 'Giroro', 'Kururu', 'Tamama', 'Dororo', 'Hinata, Natsumi', 'Hinata, Fuyuki', 'Dracoon, Félicitation du', 'Saburo, Mutsumi', 'Hinata, Aki']
animeVoices	['Watanabe, Kumiko', 'Nakata, Jouji', 'Koyasu, Takehito', 'Kozakura, Etsuko', 'Kusao, Takeshi', 'Saitou, Chiwa', 'Kawakami, Tomoko', 'Mizuki, Nana', 'Ishida, Akira', 'Hiramatsu, Akiko']
animeStaff	[['Satou, Junichi', 'Director'], ['Yamaguchi, Susumu', 'Director, Episode Director, Storyboard'], ['Tsuruoka, Youta', 'Sound Director'], ['Watanabe, Kumiko', 'Sound Director']]
