animeTitle	Kyoushoku Soukou Guyver (2005)
animeType	TV
animeNumEpisode	26
releaseDate	2005-08-06 00:00:00
endDate	2006-02-18 00:00:00
animeNumMembers	
animeScore	7.25
animeUsers	8146
animeRank	
animePopularity	4008
animeDescription	"Sho Fukamachi, a normal teenager accidentally found an alien object called Unit and thus, changed his life forever. The Unit bonded with Sho, resulting in an incredibly powerful life-form called Guyver. With this great power, Sho battles the mysterious Chronos organization and it's Zoanoids, in order to protect his friends and his world. Unknown to Sho, the battle against Chronos will lead to the discovery of the origins of human, their destiny, and the Creators...

(Source: ANN)"
animeRelated	['Kyoushoku Soukou Guyver', 'Kyoushoku Soukou Guyver (1989)']
animeCharacters	['Fukamachi, Shou', 'Makishima, Agito', 'Aptom', 'Alkanphel', 'Murakami, Masaki', 'Lisker, Oswald', 'Zx-Tole', 'Balkus, Dr Hamical', 'Segawa, Mizuki', 'Onuma, Shizu']
animeVoices	['Nojima, Kenji', 'Konishi, Katsuyuki', 'Inada, Tetsu', 'Matsumoto, Yasunori', 'Madono, Mitsuaki', 'Ishizuka, Unshou', 'Shimura, Tomoyuki', 'Kamei, Saburou', 'Mizuki, Nana', 'Neya, Michiko']
animeStaff	[['Akiyama, Katsuhito', 'Director'], ['Watanabe, Jun', 'Sound Director'], ['Inokawa, Shintarou', 'Episode Director, Storyboard'], ['Nigorikawa, Atsushi', 'Episode Director']]
