animeTitle	Fairy Tail OVA (2016)
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	7.22
animeUsers	34570
animeRank	
animePopularity	2002
animeDescription	OVAs adapting the 4 omake chapters of the same name and bundled with the special edition of the 55th, 58th and 59th volumes of the manga.
animeRelated	['Fairy Tail (2014)']
animeCharacters	['Dragneel, Natsu', 'Scarlet, Erza', 'Fullbuster, Gray', 'Heartfilia, Lucy', 'Happy', 'Marvell, Wendy', 'Charlés', 'Lockser, Juvia', 'Fernandes, Jellal', 'Redfox, Gajeel']
animeVoices	['Kakihara, Tetsuya', 'Ohara, Sayaka', 'Nakamura, Yuuichi', 'Hirano, Aya', 'Kugimiya, Rie', 'Satou, Satomi', 'Horie, Yui', 'Nakahara, Mai', 'Namikawa, Daisuke', 'Hatano, Wataru']
animeStaff	[['Kitamura, Junichi', 'Director'], ['Hata, Shouji', 'Sound Director'], ['Amino, Tetsuro', 'Storyboard'], ['Yonekura, Chihiro', 'Theme Song Performance']]
