animeTitle	Kaze no Youjinbou
animeType	TV
animeNumEpisode	25
releaseDate	2001-10-02 00:00:00
endDate	2002-03-26 00:00:00
animeNumMembers	
animeScore	7.18
animeUsers	2357
animeRank	
animePopularity	4903
animeDescription	"In search for Araki Genzo, George Kodama finds himself in the small town of Kimujuku. George quickly realizes that he is unwelcome and is warned to leave as soon as possible. With two rival syndicates roaming the streets and a dark violent past, the town of Kimujuku isn't what it appears to be. George challenges the town of Kimujuku in order to reveal the towns dark hidden past and discover the truth. 

(Source: ANN)"
animeRelated	[]
animeCharacters	['Kodama, George', 'Araiguma', 'Tanokura, Miyuki', 'Araki, Sanae', 'Maki', 'Shirogane, Fukajiro', 'Shirogane, Rin', 'Shirogane, Samekichi', 'Tanokura, Shusaku']
animeVoices	['Hirata, Hiroaki', 'Hirota, Kousei', 'Kobayashi, Sanae', 'Shinohara, Emi', 'Soya, Shigenori', 'Miyamoto, Mitsuru', 'Ootsuka, Houchuu', 'Tsuji, Shinpachi']
animeStaff	[['Date, Hayato', 'Director, Episode Director, Storyboard'], ['Kujou, Rion', 'Director, Storyboard'], ['Yamamoto, Yutaka', 'Episode Director, Storyboard'], ['Tsuru, Toshiyuki', 'Episode Director, Storyboard, Key Animation']]
