animeTitle	Sengoku Basara: Setonai no Gekitotsu! Hi wo Fuku Umi no Daiyousai - Fugaku!!
animeType	Special
animeNumEpisode	1
releaseDate	2010-01-06 00:00:00
endDate	
animeNumMembers	12079
animeScore	7.18
animeUsers	5564
animeRank	2983
animePopularity	4918
animeDescription	Maeda Toshiie and Matsu visit Chousokabe Motochika, who governs Shikoku. They tell Motochika unreasonable demands from Nobunaga. Motochika rejects them and urges Maeda to betray Nobunaga. Meanwhile Keiji tries to convince Mouri Motonari to join the fight against Nobunaga, and is imprisoned as a result. Motochika and Motonari move against each other.
animeRelated	['Sengoku Basara']
animeCharacters	['Chousokabe, Motochika', 'Mouri, Motonari', 'Maeda, Keiji', 'Kasuga', 'Maeda, Matsu', 'Maeda, Toshiie']
animeVoices	['Ishino, Ryuuzou', 'Nakahara, Shigeru', 'Morita, Masakazu', 'Kuwatani, Natsuko', 'Kaida, Yuuko', 'Tsuboi, Tomohiro']
animeStaff	[['Wada, Jouji', 'Producer'], ['Itagaki, Shin', 'Director'], ['Sawano, Hiroyuki', 'Music'], ['Fukunaga, Gen', 'Executive Producer']]
