animeTitle	b'The iDOLM@STER SideM'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.16
animeUsers	5291
animeRank	
animePopularity	
animeDescription	"b""A newly created entertainment agency, 315 Production, specializes in scouting prospective idols who previously held other jobs. Whether they were a former lawyer, surgeon, or pilot, they had a place at the agency. As they grow to understand their new positions, they'll aim to achieve their dreams of becoming top idols!\n\n(Source: The Idolm@ster Wikia)"""
animeRelated	[b'The iDOLM@STER', b'The iDOLM@STER Prologue SideM: Episode of Jupiter', b'The iDOLM@STER SideM: 315 Variety Pack! Made In Passion!', b'The iDOLM@STER SideM: Wake Atte Mini!']
animeCharacters	[b'Iseya, Shiki', b'Amagase, Touma', b'Akiyama, Hayato', b'Pierre', b'Sakuraba, Kaoru', b'Takajou, Kyouji', b'Maita, Rui', b'Hazama, Michio', b'Yamashita, Jirou', b'Wakazato, Haruna']
animeVoices	[b'\nNogami, Shou\nJapanese\n', b'\nTerashima, Takuma\nJapanese\n', b'\nChiba, Shouya\nJapanese\n', b'\nHorie, Shun\nJapanese\n', b'\nUchida, Yuuma\nJapanese\n', b'\nUmehara, Yuuichirou\nJapanese\n', b'\nEnoki, Junya\nJapanese\n', b'\nItou, Kento\nJapanese\n', b'\nNakajima, Yoshiki\nJapanese\n', b'\nShirai, Yuusuke\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKuroki, Miyuki\n\nDirector\n\n', b'\nHamano, Takatoshi\n\nSound Director\n\n', b'\nSaitou, Keiichirou\n\nEpisode Director, Animation Director\n\n', b'\nSugawara, Yukie\n\nScript, Series Composition\n\n']
