animeTitle	b'Precure All Stars Movie New Stage 2: Kokoro no Tomodachi'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.15
animeUsers	1669
animeRank	
animePopularity	
animeDescription	b'One day, the Pretty Cures receive an invitation to a party in their honor. Everyone is heading to the party venue, the school of fairies, but awaits a mysterious shadow. The shadow steals transformation objects! What can they do? If the Cures can not be converted are in big trouble! If this continues, the school, our world and everything else will deborado by that shadow! The 32 Pretty Cures will fight to protect everyone!\n\n(Source: Wikipedia)'
animeRelated	[b'Precure All Stars Movie New Stage: Mirai no Tomodachi', b'Precure All Stars Movie New Stage 3: Eien no Tomodachi']
animeCharacters	[b'Kise, Yayoi', b'Hoshizora, Miyuki', b'Aoki, Reika', b'Aida, Mana', b'Hino, Akane', b'Hishikawa, Rikka', b'Midorikawa, Nao', b'Yotsuba, Alice', b'Kenzaki, Makoto', b'Enen']
animeVoices	[b'\nKanemoto, Hisako\nJapanese\n', b'\nFukuen, Misato\nJapanese\n', b'\nNishimura, Chinami\nJapanese\n', b'\nNabatame, Hitomi\nJapanese\n', b'\nTano, Asami\nJapanese\n', b'\nKotobuki, Minako\nJapanese\n', b'\nInoue, Marina\nJapanese\n', b'\nFuchigami, Mai\nJapanese\n', b'\nMiyamoto, Kanako\nJapanese\n', b'\nTamagawa, Sakiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOgawa, Kouji\n\nDirector\n\n', b'\nTakanashi, Yasuharu\n\nMusic\n\n', b'\nToudou, Izumi\n\nOriginal Creator\n\n', b'\nShintani, Naohiro\n\nKey Animation\n\n']
