animeTitle	Kiniro no Corda: Secondo Passo
animeType	Special
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.13
animeUsers	17270
animeRank	
animePopularity	3196
animeDescription	"The story continues after the intraschool music competition of the first game and anime series. The budding music student Kahoko meets the brusque boy Etō, the new youthful school board director Akihiko Kira, and the mysterious transfer student Aoi Kaji. 

(Source: ANN)"
animeRelated	['Kiniro no Corda: Primo Passo']
animeCharacters	['Tsukimori, Len', 'Hino, Kahoko', 'Tsuchiura, Ryotaro', 'Kaji, Aoi', 'Hihara, Kazuki', 'Shimizu, Keiichi', 'Yunoki, Azuma', 'Fuyuumi, Shouko', 'Etou, Kiriya', 'Lili']
animeVoices	['Taniyama, Kishou', 'Takagi, Reiko', 'Itou, Kentarou', 'Miyano, Mamoru', 'Morita, Masakazu', 'Fukuyama, Jun', 'Kishio, Daisuke', 'Sato, Akemi', 'Hino, Satoshi', 'Mizuhashi, Kaori']
animeStaff	[['Ochi, Koujin', 'Director'], ['Kikuta, Hiromi', 'Sound Director'], ['Miyano, Mamoru', 'Theme Song Performance, Inserted Song Performance'], ['Fukuyama, Jun', 'Theme Song Performance']]
