animeTitle	7 Seeds 2nd Season
animeType	ONA
animeNumEpisode	12
releaseDate	2020-03-26 00:00:00
endDate	
animeNumMembers	46072
animeScore	7.1
animeUsers	25175
animeRank	3332
animePopularity	2627
animeDescription	Second season of 7 Seeds.
animeRelated	['7 Seeds']
animeCharacters	['Iwashimizu, Natsu', 'Sugurono, Hana', 'Ango', 'Aota, Arashi', 'Ryou', 'Aramaki, Takahiro', 'Asai, Semimaru', 'Yukima, Haru', 'Ayu', 'Nijiko']
animeVoices	['Touyama, Nao', 'Hikasa, Youko', 'Fukuyama, Jun', 'Sakurai, Takahiro', 'Sasaki, Nozomu', 'Konishi, Katsuyuki', 'Nojima, Hirofumi', 'Shimamura, Yuu', 'Minagawa, Junko']
animeStaff	[['Takahashi, Yukio', 'Director'], ['Kamishiraishi, Mone', 'Theme Song Performance'], ['GLIM SPANKY', 'Theme Song Composition, Theme Song Lyrics, Theme Song Arrangement'], ['Cider Girl', 'Theme Song Performance']]
