animeTitle	b'RabbiTube: Creator ni Challenge!'
animeType	b'ONA'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	7.1
animeUsers	116
animeRank	
animePopularity	
animeDescription	"b""Short videos are released each month on YouTube to celebrate the character's birthdays."""
animeRelated	[b'IDOLiSH7']
animeCharacters	[b'Nanase, Riku', b'Kujou, Ten', b'Yaotome, Gaku', b'Ousaka, Sougo', b'Sunohara, Momose', b'Yotsuba, Tamaki', b'Izumi, Iori', b'Izumi, Mitsuki', b'Rokuya, Nagi', b'Tsunashi, Ryuunosuke']
animeVoices	[]
animeStaff	[]
