animeTitle	Shakugan no Shana-tan
animeType	Special
animeNumEpisode	4
releaseDate	2006-01-25 00:00:00
endDate	2007-04-04 00:00:00
animeNumMembers	
animeScore	7.09
animeUsers	17286
animeRank	
animePopularity	3123
animeDescription	"Shana-tan specials bundled with the first and fifth volume pre-orders of the Shakugan no Shana DVD, the limited edition Shakugan no Shana guide book, and the limited edition Shakugan no Shana Movie preview DVD special.

Episodes
#1: Shakugan no Shana-tan
#2: Shakugan no Shana-tan Returns
#3: Itadaki no Hecate-tan
#4: Banjou no Carmel-san"
animeRelated	['Shakugan no Shana', 'Shakugan no Shana-tan II (Second)']
animeCharacters	['Shana', 'Sakai, Yuuji', 'Hecate', 'Yoshida, Kazumi', 'Carmel, Wilhelmina', 'Alastor', 'Satou, Keisaku', 'Sakai, Chigusa', 'Sydonay', 'Ogata, Matake']
animeVoices	['Kugimiya, Rie', 'Hino, Satoshi', 'Noto, Mamiko', 'Kawasumi, Ayako', 'Itou, Shizuka', 'Ebara, Masashi', 'Nojima, Kenji', 'Sakurai, Tomo', 'Miyake, Kenta', 'Kobayashi, Yumiko']
animeStaff	[['Itou, Noizi', 'Original Character Design'], ['Otani, Kow', 'Music'], ['Takahashi, Yashichiro', 'Original Creator'], ['Ootsuka, Mai', 'Character Design']]
