animeTitle	Dual! Parallel Lun-Lun Monogatari
animeType	TV
animeNumEpisode	13
releaseDate	1999-04-08 00:00:00
endDate	1999-07-01 00:00:00
animeNumMembers	16001
animeScore	7.09
animeUsers	7661
animeRank	3400
animePopularity	4411
animeDescription	"Kazuki Yotsuga is your regular average nerd in high-school, except he isn't smart. He has this website which relates to his visions that only he can see. His vision's are about robots who keep fighting each other battle after battle. One day he is sent to a, ""parallel world"" where these visions exist and he joins a company to fight back against the devious RaRa, who want to take over the world. 

(Source: ANN)"
animeRelated	['Dual! Parallel Runrun Monogatari Special;']
animeCharacters	['D', 'Sanada, Mitsuki', 'Yotsuga, Kazuki', 'Schwael, Yayoi', 'Rara, Hiroshi', 'Rara, Mitsuki', 'Rara, Ayuko', 'Nanjoin, Reika', 'Hayase, Kaoru', 'Sanada, Ken']
animeVoices	['Uchikawa, Ai', 'Tanaka, Rie', 'Yamaguchi, Takayuki', 'Nakamura, Chie', 'Ogata, Kenichi', 'Toyoguchi, Megumi', 'Doi, Mika', 'Nozawa, Masako', 'Takamori, Nao', 'Oobayashi, Ryuusuke']
animeStaff	[['Maseba, Yutaka', 'Producer'], ['Akiyama, Katsuhito', 'Director, Episode Director, Storyboard'], ['Kikuta, Hiromi', 'Sound Director'], ['Yoneda, Mitsuhiro', 'Episode Director']]
