animeTitle	Uchuu Densetsu Ulysses 31
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.08
animeUsers	1946
animeRank	
animePopularity	7096
animeDescription	"It is the thirty-first century. Ulysses killed the giant Cyclops when he rescued the children and his son, Telemachus. 
But the ancient gods of Olympus are angry and threaten a terrible revenge: Ulysses is sentenced to travel through the universe of Olympus with a frozen crew on a quest to find the Kingdom of Hades. Only when he has found the Kingdom of Hades will his crew be free of their curse and he will be able to return to Earth and to his beloved Penelope.

(Source: AniDB)"
animeRelated	['Ulysses 31 Pilot']
animeCharacters	['Ulysses', 'Themis', 'Telemachus', 'Nono', 'Noumayos', 'Nestor', 'Zeus']
animeVoices	['Tsukayama, Masane', 'Yajima, Akiko', 'Tobita, Nobuo', 'Tanaka, Mayumi', 'Morikawa, Toshiyuki', 'Yamaguchi, Ken']
animeStaff	[['Nagahama, Tadao', 'Director, Chief Animation Director'], ['Chalopin, Jean', 'Script'], ['Araki, Toyohisa', 'Theme Song Lyrics'], ['Kawamori, Shouji', 'Mechanical Design']]
