animeTitle	Uchuu Senkan Yamato III
animeType	TV
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	7.07
animeUsers	1498
animeRank	
animePopularity	6879
animeDescription	"A stray missile from a confrontation between the Galman empire and the Bolar Federation crashes into the sun, turning it into a time bomb of radiation. The Star Force once again sets off into space, this time on a quest to look for a new world for the human race. 

(Source: ANN) "
animeRelated	['Yamato III', 'Yamato yo Towa ni', 'Uchuu Senkan Yamato: Kanketsu-hen']
animeCharacters	['Kodai, Susumu', 'Desler, Aberdt', 'Mori, Yuki', 'Sanada, Shirou', 'Shima, Daisuke', 'Ageha, Takeshi', 'Analyzer', 'Sado, Sakezou', 'Domon, Ryuusuke', 'Talan, Ghader']
animeVoices	['Tomiyama, Kei', 'Ibu, Masatou', 'Ichiryuusai, Harumi', 'Aono, Takeshi', 'Nakamura, Shuusei', 'Furukawa, Toshio', 'Ogata, Kenichi', 'Nagai, Ichiro', 'Tanaka, Hideyuki', 'Yada, Kouji']
animeStaff	[['Matsumoto, Leiji', 'Director, Original Creator'], ['Yamamoto, Eiichi', 'Director, Script'], ['Sasagawa, Hiroshi', 'Episode Director'], ['Shirato, Takeshi', 'Episode Director, Storyboard, Animation Director']]
