animeTitle	Azur Lane: Bisoku Zenshin!
animeType	TV
animeNumEpisode	12
releaseDate	2021-01-12 00:00:00
endDate	2021-03-30 00:00:00
animeNumMembers	34638
animeScore	7.06
animeUsers	12050
animeRank	3499
animePopularity	3068
animeDescription	"In a seemingly peaceful time without looming threats of Sirens or war, shipgirls from different nations live together in harmony. Some girls, such as the destroyers Ayanami, Javelin, Laffey, and Z23, attend school. Others immerse themselves into various other activities, including sports, foraging, training, going to formal parties, or even vying for the commander's attention! But one thing is for certain: the girls will continue to deepen their friendship in the pleasant port of Azur Lane!

[Written by MAL Rewrite]"
animeRelated	['Azur Lane: Bisoku Zenshin!', 'Azur Lane', 'Azur Lane: Bisoku Zenshin! Hokorashiki Bokou ni Shukusai wo']
animeCharacters	['Laffey', 'Ayanami', 'Z23', 'Javelin', 'Prinz Eugen', 'Belfast', 'Bismarck', 'Taihou', 'Akashi', 'Formidable']
animeVoices	['Naganawa, Maria', 'Taichi, You', 'Abe, Rika', 'Yamane, Nozomi', 'Sakura, Ayane', 'Yuuki, Aoi', 'Uesaka, Sumire', 'Kugimiya, Rie']
animeStaff	[['Jinbo, Masato', 'Director'], ['Tsuchiya, Masaki', 'Sound Director'], ['Satou, Yuu', 'Script'], ['Nitta, Emi', 'Theme Song Performance']]
