animeTitle	b'Tengen Toppa Gurren Lagann Movie 1: Gurren-hen'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	8.16
animeUsers	71296
animeRank	
animePopularity	
animeDescription	"b""Animation studio Gainax presented a website for the release of a movie adaptation of the Tengen Toppa Gurren Lagann TV series in the fall of 2008. Both the original director and series script editor will return to work on the new project. Gainax will also be hosting four events to celebrate this occasion at this year's Tokyo International Anime Fair, featuring voice actors from the anime."""
animeRelated	[b'Tengen Toppa Gurren Lagann', b'Tengen Toppa Gurren Lagann Movie 2: Lagann-hen', b'Tengen Toppa Gurren Lagann Movie Zenyasai: Viral no Amai Yume']
animeCharacters	[b'Kamina', b'Simon', b'Littner, Yoko', b'Teppelin, Nia', b'Viral', b'Bachika, Kittan', b'Boota', b'Littner, Leeron', b'Lordgenome', b'Adai, Rossiu']
animeVoices	[b'\nKonishi, Katsuyuki\nJapanese\n', b'\nKakihara, Tetsuya\nJapanese\n', b'\nInoue, Marina\nJapanese\n', b'\nFukui, Yukari\nJapanese\n', b'\nHiyama, Nobuyuki\nJapanese\n', b'\nTaniyama, Kishou\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nOnosaka, Masaya\nJapanese\n', b'\nIkeda, Narushi\nJapanese\n', b'\nSaiga, Mitsuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nImaishi, Hiroyuki\n\nDirector, Storyboard, Animation Director, Key Animation\n\n', b'\nOotsuka, Masahiko\n\nEpisode Director, Assistant Director\n\n', b'\nNakashima, Kazuki\n\nScript, Original Creator\n\n', b'\nNishigori, Atsushi\n\nStoryboard, Character Design, Animation Director, Principle Drawing, Key Animation\n\n']
