animeTitle	b'Black\xe2\x98\x85Rock Shooter'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.04
animeUsers	30805
animeRank	
animePopularity	
animeDescription	"b""The official music video that eventually spawned the entire Black Rock Shooter franchise. Inspired by the first official illustration by huke, the song was composed by ryo of supercell, illustrated by huke and sung by Hatsune Miku, Vocaloid's main character."""
animeRelated	[b'Black\xe2\x98\x85Rock Shooter (OVA)', b'Black\xe2\x98\x85Rock Shooter (TV)']
animeCharacters	[b'Black\xe2\x98\x85Rock Shooter']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nHatsune, Miku\n\nTheme Song Performance\n\n', b'\nryo\n\nTheme Song Lyrics, Theme Song Composition, Theme Song Arrangement\n\n', b'\nhuke\n\nCharacter Design\n\n']
