animeTitle	Boku no Hero Academia 3rd Season
animeType	TV
animeNumEpisode	25
releaseDate	2018-04-07 00:00:00
endDate	2018-09-29 00:00:00
animeNumMembers	
animeScore	8.14
animeUsers	1108953
animeRank	
animePopularity	25
animeDescription	"As summer arrives for the students at UA Academy, each of these superheroes-in-training puts in their best efforts to become renowned heroes. They head off to a forest training camp run by UA's pro heroes, where the students face one another in battle and go through dangerous tests, improving their abilities and pushing past their limits. However, their school trip is suddenly turned upside down when the League of Villains arrives, invading the camp with a mission to capture one of the students. 

Boku no Hero Academia 3rd Season follows Izuku ""Deku"" Midoriya, an ambitious student training to achieve his dream of becoming a hero similar to his role model—All Might. Being one of the students caught up amidst the chaos of the villain attack, Deku must take a stand with his classmates and fight for their survival.

[Written by MAL Rewrite]"
animeRelated	['Boku no Hero Academia', 'Boku no Hero Academia 2nd Season', 'Boku no Hero Academia the Movie 1: Futari no Hero', 'Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren', 'Boku no Hero Academia 4th Season']
animeCharacters	['Midoriya, Izuku', 'Bakugou, Katsuki', 'All Might', 'Todoroki, Shouto', 'Aizawa, Shouta', 'Kirishima, Eijirou', 'Uraraka, Ochako', 'Asui, Tsuyu', 'Toga, Himiko', 'Dabi']
animeVoices	['Yamashita, Daiki', 'Okamoto, Nobuhiko', 'Miyake, Kenta', 'Kaji, Yuki', 'Suwabe, Junichi', 'Masuda, Toshiki', 'Sakura, Ayane', 'Yuuki, Aoi', 'Fukuen, Misato', 'Shimono, Hiro']
animeStaff	[['Nagasaki, Kenji', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Mukai, Masahiro', 'Episode Director'], ['Kakuchi, Takudai', 'Episode Director']]
