animeTitle	Dragon League
animeType	TV
animeNumEpisode	39
releaseDate	1993-05-07 00:00:00
endDate	1994-03-06 00:00:00
animeNumMembers	
animeScore	6.99
animeUsers	428
animeRank	
animePopularity	10280
animeDescription	"Tokio and his father Amon go to the soccer country of Elevenia where they see a parade of the strongest soccer team of that country, the Winners. Amon challenges the team captain Leon to a soccer battle and, when Amon loses, Leon turns him into a miniature dragon. Tokio sees the fight and decides to challenge against Leon so that Amon can become human again.

(Source: AnimeNFo)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
