animeTitle	Bleach: The Sealed Sword Frenzy
animeType	Special
animeNumEpisode	1
releaseDate	2006-03-23 00:00:00
endDate	
animeNumMembers	103622
animeScore	6.98
animeUsers	57314
animeRank	3853
animePopularity	1574
animeDescription	A Shinigami named Baishin who was sealed by Soul Society long ago is set free on Earth. On a fateful day Ichigo encounters him and has roughly half of his reiatsu drained. Its now up to Ichigo and the Soul Society to finally put a stop to Baishin and his destruction.
animeRelated	['Bleach']
animeCharacters	['Kurosaki, Ichigo', 'Kuchiki, Rukia', 'Baishin', 'Zaraki, Kenpachi', 'Urahara, Kisuke', 'Hitsugaya, Toushirou', 'Aizen, Sousuke', 'Kuchiki, Byakuya', 'Shihouin, Yoruichi', 'Ichimaru, Gin']
animeVoices	['Morita, Masakazu', 'Orikasa, Fumiko', 'Nakata, Jouji', 'Tachiki, Fumihiko', 'Miki, Shinichiro', 'Park, Romi', 'Hayami, Show', 'Okiayu, Ryoutarou', 'Yukino, Satsuki', 'Yusa, Kouji']
animeStaff	[['Abe, Noriyuki', 'Director'], ['Kubo, Tite', 'Original Creator'], ['Sagisu, Shirou', 'Music'], ['Kudou, Masashi', 'Character Design']]
