animeTitle	Kinnikuman II Sei: Ultimate Muscle 2
animeType	TV
animeNumEpisode	13
releaseDate	2006-01-04 00:00:00
endDate	2006-03-29 00:00:00
animeNumMembers	
animeScore	6.98
animeUsers	2814
animeRank	
animePopularity	6644
animeDescription	"Mantaro has made it to the semifinal match of the Chojin Cup. He must now fight Ricardo in a soccer field to advance to the last match. Kevin Mask is also in the semifinals, and must defeat Ilioukhine in an aerial field to advance. These three matches will determine who wins the Chojin Cup.

(Source: ANN)"
animeRelated	['Kinnikuman II Sei: Ultimate Muscle']
animeCharacters	['Kinniku, Mantarou', 'Terry the Kid', 'Alexandria Meat', 'Check Mate', 'Gazelleman', 'Nikaidou, Rinko', 'Seiuchin', 'Ilioukhine']
animeVoices	['Onosaka, Masaya', 'Morikawa, Toshiyuki', 'Yoshida, Konami', 'Toochika, Kouichi', 'Masutani, Yasunori', 'Orikasa, Fumiko', 'Yamazaki, Takumi']
animeStaff	[['Komura, Toshiaki', 'Director, Episode Director'], ['Ueda, Yoshihiro', 'Episode Director'], ['Koga, Gou', 'Episode Director'], ['Yudetamago', 'Original Creator']]
