animeTitle	Lupin III: The Last Job
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.96
animeUsers	2296
animeRank	
animePopularity	6266
animeDescription	"Lupin III aims to steal a Japanese cultural treasure ""Jigoku Nyorai Zo,"" which is found in the recreation facilities of Nazi Germany. However, this valuable object is also targeted by Morgana, a mysterious figure who leads a ninja thief gang."
animeRelated	['Lupin III']
animeCharacters	['Lupin III, Arsene', 'Jigen, Daisuke', 'Mine, Fujiko', 'Ishikawa XIII, Goemon', 'Zenigata, Kouichi', 'Kagurazaka, Asuka']
animeVoices	['Kurita, Kanichi', 'Kobayashi, Kiyoshi', 'Masuyama, Eiko', 'Inoue, Makio', 'Naya, Gorou', 'Hirano, Aya']
animeStaff	[['Nakatani, Toshio', 'Producer'], ['Amino, Tetsuro', 'Director, Storyboard'], ['Ooba, Hideaki', 'Episode Director'], ['Okawa, Toshimichi', 'Script']]
