animeTitle	Ninja Senshi Tobikage
animeType	TV
animeNumEpisode	43
releaseDate	
endDate	
animeNumMembers	
animeScore	6.96
animeUsers	1111
animeRank	
animePopularity	7764
animeDescription	"Ninja Senshi Tobikage tells the story of a boy named Joe Maya. One day, Joe, who lives on Mars, witnesses a battle between aliens. Those from Planet Zaboom are attacking the princess of Planet Radorio, she has escaped from the emperor of Zaboom who is scheming to conquer the universe and has crash landed on mars. 

Joe stumbles aboard the princesses ship, this starts a chain reaction of events that will alter their lives. Joe and his friends wield three powerful mecha beasts against the emperor of Zaboom and his forces, but the odds are stacked heavily against them. When all hope seems to be lost a mysterious ninja robot named Tobikage appears as if from nowhere to provide assitance, able to combine with the 3 mechanical beasts provides Tobikage with unmatched power, with his aide Joe fights the forces of Zaboom... 

(Source: ANN)"
animeRelated	[]
animeCharacters	['Maya, Joe', 'Ladorio, Romina', 'Ai, Rene', 'Coil, Mike', 'Sanada, Ronin', 'Veker, Charme', 'Zaboom, Annex', 'Karen', 'Gryn, Grathan', 'Tack, Doug']
animeVoices	['Inoue, Kazuhiko', 'Shimamoto, Sumi', 'Hidaka, Noriko', 'Kikuchi, Masami', 'Hironaka, Masashi', 'Yamada, Eiko', 'Okabe, Masaaki', 'Shimazu, Saeko', 'Ootsuka, Houchuu', 'Taniguchi, Takashi']
animeStaff	[['Annou, Masami', 'Director, Storyboard'], ['Asari, Naoko', 'Sound Director'], ['Katayama, Kazuyoshi', 'Episode Director, Storyboard'], ['Ishiyama, Takaaki', 'Episode Director, Storyboard']]
