animeTitle	Magic Tree House
animeType	Movie
animeNumEpisode	1
releaseDate	2012-01-07 00:00:00
endDate	
animeNumMembers	6484
animeScore	6.95
animeUsers	2229
animeRank	4001
animePopularity	6304
animeDescription	Based on The Magic Tree House series, award winning series of children books written by American author Mary Pope Osborne.
animeRelated	[]
animeCharacters	['Annie', 'Jack', 'Kathleen', 'Tracy', 'Mother', 'Le Fay, Morgan']
animeVoices	['Ashida, Mana', 'Kitagawa, Keiko', 'Shitaya, Noriko', 'Mizuki, Nana']
animeStaff	[['Nishikiori, Hiroshi', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Ookouchi, Ichirou', 'Script, Screenplay'], ['Senju, Akira', 'Music']]
