animeTitle	Strike the Blood: Kieta Seisou-hen
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.93
animeUsers	7760
animeRank	
animePopularity	3944
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Strike the Blood', 'Strike the Blood III']
animeCharacters	['Himeragi, Yukina', 'Akatsuki, Kojou', 'Aiba, Asagi', 'Rihavein, La Folia', 'Kirasaka, Sayaka', 'Minamiya, Natsuki', 'Astarte', 'Yaze, Motoki', 'Akatsuki, Nagisa', 'Kisaki, Kiriha']
animeVoices	['Taneda, Risa', 'Hosoya, Yoshimasa', 'Seto, Asami', 'Oonishi, Saori', 'Hayama, Ikumi', 'Kanemoto, Hisako', 'Iguchi, Yuka', 'Oosaka, Ryouta', 'Hidaka, Rina', 'Fujii, Yukiyo']
animeStaff	[['Yamamoto, Hideyo', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Taneda, Risa', 'Theme Song Performance'], ['Kishida Kyoudan & The Akeboshi Rockets', 'Theme Song Performance']]
