animeTitle	b'Iblard Jikan'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.91
animeUsers	6983
animeRank	
animePopularity	
animeDescription	b'Much like looking through a window, Iblard Jikan explores the fantastic and beautiful world of Iblard by panning through art created by Naohisa Inoue. Iblard shows itself to be nothing short of amazing and will wash serenity over your mind.\n\n(Source: ANN) '
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
