animeTitle	Higurashi no Naku Koro ni Sotsu
animeType	TV
animeNumEpisode	15
releaseDate	2021-07-01 00:00:00
endDate	2021-09-30 00:00:00
animeNumMembers	
animeScore	6.87
animeUsers	22914
animeRank	
animePopularity	1940
animeDescription	"Rika Furude and Satoko Houjou are best friends who have lived in the small village of Hinamizawa for their entire lives. Alongside their other friends, they spend every day together, and every moment is filled with fun and laughter. However, as Rika and Satoko begin to grow older, a life-changing opportunity presents itself to both of them. Rika is determined to follow her dreams and wants Satoko by her side. 

Although Satoko is hesitant, she decides to walk this path with Rika. However, the realization of her dream forms a rift between them. This leaves the girls living in completely different worlds, with Rika enjoying her new life and making new friends while Satoko grows more and more isolated.

Longing to return to the nostalgic days in Hinamizawa, Satoko despairs and wishes things could be changed. Just when she is at wits' end, an encounter with a supernatural entity changes Satoko's perception and imparts new revelations about her best friend Rika. This begins her journey to get the future she desires—by any means necessary.

[Written by MAL Rewrite]"
animeRelated	['Higurashi no Naku Koro ni Gou']
animeCharacters	['Furude, Rika', 'Ryuuguu, Rena', 'Sonozaki, Shion', 'Sonozaki, Mion', 'Maebara, Keiichi', 'Houjou, Satoko', 'Hanyuu', 'Takano, Miyo', 'Ooishi, Kuraudo', 'Irie, Kyousuke']
animeVoices	['Tamura, Yukari', 'Nakahara, Mai', 'Kanai, Mika']
animeStaff	[['Suzuki, Konomi', 'Theme Song Performance'], ['Ayane', 'Theme Song Performance'], ['Ryukishi07', 'Original Creator']]
