animeTitle	b'Macross Dynamite 7'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.84
animeUsers	4816
animeRank	
animePopularity	
animeDescription	"b"" Less than a year after the events that transpired in the Macross 7 TV series, Basara leaves Fire Bomber and travels to the planet Zola. There, he meets a girl named Elma, who is a big fan of Fire Bomber. It is also on this planet where he must once again use his Spiritia powers; this time, to stop an army of poachers and Elma's father Graham from killing a group of space whales travelling within the planetary system."""
animeRelated	[b'Macross 7', b'Macross F']
animeCharacters	[b'Nekki, Basara', b'Jenius, Mylene Flare', b'Hoyly, Elma', b'Hoyly, Liza', b'Kizaki, Gamlin', b'Feaze, Veffidas', b'Sasabi', b'Lovelock, Ray', b'Lawrence', b'Hoyly, Graham']
animeVoices	[b'\nCanna, Nobutoshi\nJapanese\n', b'\nSakurai, Tomo\nJapanese\n', b'\nSakaguchi, Aya\nJapanese\n', b'\nOkamoto, Maya\nJapanese\n', b'\nKoyasu, Takehito\nJapanese\n', b'\nTakano, Urara\nJapanese\n', b'\nSugawara, Masashi\nJapanese\n', b'\nNakahara, Shigeru\nJapanese\n', b'\nNakata, Jouji\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAmino, Tetsuro\n\nDirector\n\n', b'\nFukuyama, Yoshiki\n\nTheme Song Performance\n\n', b'\nFire Bomber\n\nTheme Song Performance, Inserted Song Performance\n\n', b'\nKanno, Yoko\n\nMusic\n\n']
