animeTitle	Nirvana
animeType	Music
animeNumEpisode	1
releaseDate	2015-11-25 00:00:00
endDate	
animeNumMembers	
animeScore	6.83
animeUsers	3245
animeRank	
animePopularity	6047
animeDescription	"Music video bundled with the limited edition of the Noragami Aragoto ED single. 

(Source: AniDB)"
animeRelated	['Noragami Aragoto', 'Heart Realize']
animeCharacters	['Yato', 'Yukine', 'Iki, Hiyori', 'Bishamon', 'Kofuku', 'Kazuma', 'Nora', 'Daikoku', 'Kuraha', 'Aiha']
animeVoices	[]
animeStaff	[['ryo', 'Theme Song Composition'], ['Tia', 'Theme Song Performance']]
