animeTitle	Harukanaru Toki no Naka de 3: Kurenai no Tsuki
animeType	Special
animeNumEpisode	1
releaseDate	2007-12-28 00:00:00
endDate	
animeNumMembers	3290
animeScore	6.74
animeUsers	1003
animeRank	4893
animePopularity	8138
animeDescription	"Another 100 years has passed since the end the end of Harukanaru Toki no Naka de 2 (200 years after the original anime). In the past that is, very little time has gone by in the future. One day, Kasuga Nozomi encounters a strange boy at her high school, who sends her across time and space to Kyou, a place in another world that bears a strong resemblance to Kyoto towards the end of the Heian period. There, the Minamoto clan (""Genji""), led by Minamoto no Yoritomo, is at war with the Taira clan (""Heike""), led by Taira no Kiyomori. The Heike hope to defeat the Genji by releasing vengeful spirits to disturb the earth`s natural flow of energy and to terrorize the land. The boy is revealed to be the human form of Hakuryuu, the White Dragon God that protects Kyou, who is weakened by the presence of the vengeful spirits. As the Hakuryuu no Miko (Priestess of the White Dragon God), Nozomi allies herself with the Genji because Hakuryuu cannot send her home until his power is restored...

(Source: AniDB) "
animeRelated	['Harukanaru Toki no Naka de 2: Shiroki Ryuu no Miko', 'Harukanaru Toki no Naka de 3: Kurenai no Tsuki Special', 'Harukanaru Toki no Naka de 3: Owarinaki Unmei']
animeCharacters	['Hakuryu', 'Arikawa, Masaomi', 'Musashibou, Benkei', 'Kasuga, Nozomi', 'Minamoto no Kurou, Yoshitsune', 'Ridvan', 'Kajiwara, Kagetoki', 'Hinoe', 'Arikawa, Yuzuru', 'Taira no, Atsumori']
animeVoices	['Okiayu, Ryoutarou', 'Miki, Shinichiro', 'Miyata, Kouki', 'Kawakami, Tomoko', 'Seki, Tomokazu', 'Ishida, Akira', 'Inoue, Kazuhiko', 'Takahashi, Naozumi', 'Nakahara, Shigeru', 'Hoshi, Souichirou']
animeStaff	[['Shinohara, Toshiya', 'Director'], ['Yamada, Yuka', 'Script'], ['Miki, Shinichiro', 'Theme Song Performance'], ['Hoshi, Souichirou', 'Theme Song Performance']]
