animeTitle	b'Mayoi Neko Overrun! Specials'
animeType	b'Special'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.7
animeUsers	7479
animeRank	
animePopularity	
animeDescription	b'Mayoi Neko Overrun! Extra.'
animeRelated	[b'Mayoi Neko Overrun!']
animeCharacters	[b'Kiriya, Nozomi', b'Serizawa, Fumino', b'Umenomori, Chise', b'Tsuzuki, Takumi', b'Tsuzuki, Otome', b'Kikuchi, Ieyasu', b'Kouya, Daigorou']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nSuganuma, Eiji\n\nDirector, Episode Director, Storyboard, Key Animation, In-Between Animation\n\n', b'\nPeko\n\nOriginal Character Design\n\n', b'\nMatsu, Tomohiro\n\nOriginal Creator\n\n']
