animeTitle	Pokemon: Mewtwo - Kakusei e no Prologue
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.67
animeUsers	3547
animeRank	
animePopularity	5899
animeDescription	"The original story is set before Mewtwo meets Satoshi and his friends in the upcoming film's storyline.
It will focus on Mewtwo's history, goals, and how it became the strongest Pokémon."
animeRelated	['Pokemon Movie 16: Shinsoku no Genosect - Mewtwo Kakusei']
animeCharacters	['Mewtwo', 'Virgil', 'Danku', 'Satoshi', 'Dent', 'Iris', 'Ookido, Yukinari']
animeVoices	['Takashima, Reiko', 'Kaji, Yuki', 'Koyasu, Takehito', 'Matsumoto, Rica', 'Miyano, Mamoru', 'Yuuki, Aoi', 'Ishizuka, Unshou']
animeStaff	[['Yuyama, Kunihiko', 'Director, Storyboard'], ['Sonoda, Hideki', 'Script'], ['Tajiri, Satoshi', 'Original Creator'], ['Sugimori, Ken', 'Original Character Design']]
