animeTitle	Inazuma Eleven: Ares no Tenbin
animeType	TV
animeNumEpisode	26
releaseDate	2018-04-06 00:00:00
endDate	2018-09-28 00:00:00
animeNumMembers	
animeScore	6.66
animeUsers	14193
animeRank	
animePopularity	3230
animeDescription	"Taking place in an alternate timeline after Raimon Junior High wins the Football Frontier, a group of boys is playing soccer on a remote island off the coast of Japan. However, one day the students witness the demolition of the only soccer field on the island as they fight desperately to prevent its destruction, to no avail.

The only way to regain their soccer club is to become champions of the Football Frontier. Asuto Inamori and his classmates take up the offer, moving to mainland Japan and attending Raimon Junior High. Leaving behind their families and entering metropolitan Tokyo, they embark on a journey that will test their resolve to be the best in all of Japan.

Inazuma Eleven: Ares no Tenbin tells the tale of a group of friends whose desire for soccer burns brighter by the day. Through their encounters with several titans of the soccer landscape, including the mysterious coach Zhao Jinyun—they rush headlong into the Football Frontier to face the greatest teams Japan has to offer!

[Written by MAL Rewrite]"
animeRelated	['Inazuma Eleven: Ares no Tenbin', 'Inazuma Eleven', 'Inazuma Eleven: Outer Code', 'Inazuma Eleven: Reloaded - Soccer no Henkaku', 'Inazuma Eleven: Orion no Kokuin']
animeCharacters	['Nosaka, Yuuma', 'Haizaki, Ryouhei', 'Inamori, Asuto', 'Fubuki, Shirou', 'Endou, Mamoru', 'Gouenji, Shuuya', 'Kidou, Yuuto', 'Kiyama, Hiroto', 'Afuro, Terumi', 'Kazemaru, Ichirouta']
animeVoices	['Fukuyama, Jun', 'Kamiya, Hiroshi', 'Murase, Ayumu', 'Miyano, Mamoru', 'Takeuchi, Junko', 'Nojima, Hirofumi', 'Yoshino, Hiroyuki', 'Mizushima, Takahiro', 'Sanpei, Yuuko', 'Nishigaki, Yuka']
animeStaff	[['Hino, Akihiro', 'Director, Script, Original Creator'], ['Kamakura, Yumi', 'Director, Storyboard'], ['Miyoshi, Keiichirou', 'Sound Director'], ['Haraguchi, Noboru', 'Sound Director']]
