animeTitle	b'Haou Taikei Ryuu Knight'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.64
animeUsers	489
animeRank	
animePopularity	
animeDescription	b'Adeu the Sonic, brash young pilot of the Ryu Knight Zephyr, is joined in his travels by Princess Paffy, Priest Izumi and Ninja Sarutobi. They encounter various people of the land, including other Ryus. On the way, Adeu seeks to test his Ryu against others and thereby grow in his abilities.\n\n(Source: ANN)'
animeRelated	[b'Haou Taikei Ryuu Knight: Adeu Legend']
animeCharacters	[b'Sarutobi', b'Pafuricia, Paffy', b'Warsam, Adeu', b'Izumi', b'Galden', b'Katze', b'Gesshin', b'Graches', b'Hittel']
animeVoices	[b'\nNishimura, Tomohiro\nJapanese\n', b'\nYajima, Akiko\nJapanese\n', b'\nYuuki, Hiro\nJapanese\n', b'\nKosugi, Juurouta\nJapanese\n', b'\nTsujitani, Kouji\nJapanese\n', b'\nNagashima, Yuuko\nJapanese\n', b'\nMatsumoto, Yasunori\nJapanese\n', b'\nOkiayu, Ryoutarou\nJapanese\n', b'\nSeki, Toshihiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKawase, Toshifumi\n\nDirector, Episode Director, Storyboard\n\n', b'\nKase, Mitsuko\n\nEpisode Director, Storyboard\n\n', b'\nWatanabe, Tetsuya\n\nEpisode Director, Storyboard\n\n', b'\nDokite, Tsukasa\n\nEpisode Director, Storyboard\n\n']
