animeTitle	Force Live
animeType	Music
animeNumEpisode	1
releaseDate	2017-11-15 00:00:00
endDate	
animeNumMembers	2113
animeScore	6.62
animeUsers	673
animeRank	5488
animePopularity	9308
animeDescription	"A music video for the theme song of game ""Utapri Shining Live"", performed by QUARTET NIGHT."
animeRelated	['Uta no☆Prince-sama♪: Maji Love Legend Star', 'Shining☆Romance']
animeCharacters	['Mikaze, Ai', 'Kurosaki, Ranmaru', 'Kotobuki, Reiji', 'Camus']
animeVoices	['Aoi, Shouta', 'Suzuki, Tatsuhisa', 'Morikubo, Shoutarou', 'Maeno, Tomoaki']
animeStaff	[]
