animeTitle	Kita e.: Diamond Dust Drops
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.61
animeUsers	2293
animeRank	
animePopularity	5738
animeDescription	"If a couple sees the diamond dust together, then they will certainly find eternal happiness. Or so it is said. This is a drama about the romances, friendships and conflicts of six girls from Hokkaido and how the diamond dust affects them and eventually links them together in the search for happiness. 

(Source: ANN)
"
animeRelated	['Kita e.: Diamond Dust Drops Special', 'Kita e: Pure Session']
animeCharacters	['Asahina, Kyoko', 'Kitano, Suomi', 'Shiraishi, Karin', 'Saibara, Shoko', 'Harada, Akari', 'Akanegi, Atsuko', 'Kurata, Jouji', 'Jinguuji, Minoru']
animeVoices	['Noto, Mamiko', 'Amase, Mayu', 'Takahashi, Ao', 'Takano, Urara', 'Watanabe, Akeno', 'Ishihara, Eriko', 'Takada, Yuji', 'Kamiya, Hiroshi']
animeStaff	[['Shirahata, Nobuo', 'Director'], ['Kobayashi, Katsuyoshi', 'Sound Director'], ['Kosaka, Harume', 'Episode Director, Storyboard'], ['Okada, Mari', 'Script, Screenplay']]
