animeTitle	Major Movie: Yuujou no Winning Shot
animeType	Movie
animeNumEpisode	1
releaseDate	2008-12-13 00:00:00
endDate	
animeNumMembers	
animeScore	8.0
animeUsers	10197
animeRank	
animePopularity	4154
animeDescription	"Goro briefly returns to Japan after a triumphant campaign in the US. He is heading towards Fukuoka where he played baseball when he was a fifth grader. Having just moved into a new town, this is where Goro faced a critical point in his life. 

(Source: ANN)"
animeRelated	['Gekijouban Major: Yuujou no Winning Shot', 'Major S2', 'Major S1']
animeCharacters	['Honda, Gorou', 'Koga, Masato', 'Koga, Megumi', 'Satou, Toshiya', 'Shimizu, Kaoru', 'Honda, Shigeharu', 'Hoshino, Momoko', 'Komori, Daisuke', 'Sanders', 'Shigeno, Hideki']
animeVoices	['Morikubo, Shoutarou', 'Nojima, Kenji', 'Renbutsu, Misako', 'Ono, Fuyuka', 'Sasamoto, Yuuko', 'Koyasu, Takehito', 'Noda, Junko', 'Kugimiya, Rie', 'Sakuya, Shunsuke']
animeStaff	[['Kato, Takao', 'Director, Storyboard'], ['Enomoto, Akihiro', 'Storyboard'], ['Kouno, Megumi', 'In-Between Animation'], ['Mitsuda, Takuya', 'Original Creator']]
