animeTitle	b'Wan Sheng Jie 2'
animeType	b'ONA'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	8.0
animeUsers	2574
animeRank	
animePopularity	
animeDescription	"b'""Dear Mom and Dad, it\'s already been a year since I left home. Don\'t worry- I\'m doing great! I can take care of myself now. And I\'ve learned to take care of others, too. Before, I never could have imagined having so many friends. But now, I can hardly imagine living without them. I think... Here, is my second home.""\n\nIt was all a lie.\n\nSuspicion. Betrayal. Conspiracy. \n\n(Source: PV)'"
animeRelated	[b'Wan Sheng Jie']
animeCharacters	[b'Bowman, Neil', b'Blood, Ira', b'Angel, Lynn', b'Kirilenko, Vladimir Eliot', b'Holt, Nick', b'Angel, Lily', b'Abu']
animeVoices	[]
animeStaff	[]
