animeTitle	b'Bananya: Fushigi na Nakama-tachi'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.59
animeUsers	5490
animeRank	
animePopularity	
animeDescription	"b'On a little planet live little creatures called ""Bananyas."" Come watch their daily lifes full of adventures and discoveries.'"
animeRelated	[b'Bananya']
animeCharacters	[b'Bananya', b'Emo Bananya', b'Scientist Bananya', b'Elder Bananya', b'Robot Kitty', b'Vampire Bananya', b'Pirate Bananya', b'Metal Bananya', b'Zombie Bananya', b'Narrator']
animeVoices	[b'\nKaji, Yuki\nJapanese\n', b'\nYuuki, Kana\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYatate, Kyou\n\nDirector\n\n', b'\nAbe, Nobuyuki\n\nSound Director\n\n', b'\nTakata, Masahiro\n\nScript\n\n', b'\nTateyama, Akiyuki\n\nMusic\n\n']
