animeTitle	Golgo 13: Queen Bee
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.59
animeUsers	3761
animeRank	
animePopularity	5629
animeDescription	"Master assassin Golgo 13 is hired by the advisor of presidential candidate Robert Hardy to assassinate ""Queen Bee,"" the beautiful and deadly leader of a South American guerilla army. Golgo, however, finds this job too easy and digs further information to find out the true connection between Hardy and Queen Bee.

(Source: ANN)"
animeRelated	['Golgo 13', 'Golgo 13 (TV)']
animeCharacters	['Togo, Duke', 'Queen Bee', 'Hardy, Robert', 'Waltham, Thomas']
animeVoices	['Genda, Tesshou', 'Katsuki, Masako', 'Arimoto, Kinryuu', 'Nakao, Ryusei']
animeStaff	[['Yamamoto, Mataichirou', 'Producer, Executive Producer'], ['Dezaki, Osamu', 'Director, Storyboard'], ['Kuwahara, Satoshi', 'Episode Director'], ['Koike, Kazuo', 'Original Creator']]
