animeTitle	b'Toutotsu ni Egypt Shin'
animeType	b'ONA'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	6.52
animeUsers	1987
animeRank	
animePopularity	
animeDescription	b'During the day, the Egyptian gods take their jobs very seriously. However, in their spare time, the deities enjoy themselves as much as they can by partaking in a wide range of activities. Toutotsu ni Egypt Shin gives insight into the energetic lives of the gods and the sudden chaos they find themselves in on a daily basis. \n\n[Written by MAL Rewrite]'
animeRelated	[b'Toutotsu ni Egypt Shin 2nd Season']
animeCharacters	[b'Thoth', b'Anubis', b'Medjed', b'Apep', b'Wenet', b'Horus', b'Bastet', b'Khnum', b'Ra', b'Narrator']
animeVoices	[b'\nKaji, Yuki\nJapanese\n', b'\nShimono, Hiro\nJapanese\n', b'\nMidorikawa, Hikaru\nJapanese\n', b'\nYusa, Kouji\nJapanese\n', b'\nAoi, Shouta\nJapanese\n', b'\nShimazaki, Nobunaga\nJapanese\n', b'\nKobayashi, Yuu\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n', b'\nTsuda, Kenjirou\nJapanese\n', b'\nNakamura, Tomoya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNagaoka, Shinji\n\nBackground Art, Art Director\n\n']
