animeTitle	La Seine no Hoshi
animeType	TV
animeNumEpisode	39
releaseDate	
endDate	
animeNumMembers	
animeScore	6.5
animeUsers	677
animeRank	
animePopularity	9214
animeDescription	"The story is set in Paris, on the night before the France Revolution. The civilians have been suffering under the tyrannical rule of Louis, the sixteenth. In order to release the people from their suffering, Simone, a young girl whose parents were killed by the aristocrats, decides to challenge the corrupted aristocrats. Covering her face with a red mask and leaving a red carnation as a mark of her presence, Simone is La Seine no Hoshi.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Simone', 'de Forge, Robert', 'Charlotte', 'Louis', 'Dorzhiev', 'Duke Bayonne', 'Carlo', 'Doctor', 'Daemon', 'Annie']
animeVoices	['Niki, Terumi', 'Hirokawa, Taichirou', 'Sugiyama, Kazuko', 'Senou, Reiko', 'Fujishiro, Yuji', 'Ogata, Kenichi', 'Ichikawa, Osamu', 'Yamashita, Keisuke', 'Ikemizu, Michihiro']
animeStaff	[['Oosumi, Masaaki', 'Director'], ['Yoshikawa, Souji', 'Script'], ['Tomino, Yoshiyuki', 'Storyboard'], ['Horie, Mitsuko', 'Theme Song Performance']]
