animeTitle	b'Mushikago no Cagaster'
animeType	b'ONA'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.5
animeUsers	11537
animeRank	
animePopularity	
animeDescription	"b'In a near future, an illness called ""Cagaster"" made \xe2\x80\x8b\xe2\x80\x8bits appearance. It turns humans into insects. The story begins 30 years after the onset of the illness, in 2125. It follows the adventures of Kidou, a boy who fights insects.\n\n(Source: MAL News)'"
animeRelated	[b'Mushikago no Cagaster']
animeCharacters	[b'Kidou', b'Acht', b'Ilie', b'Mario', b'Griffith', b'Aisha', b'Adham, Harb', b'Lizzy', b'Kirio, Emeth', b'Tanya']
animeVoices	[b'\nHosoya, Yoshimasa\nJapanese\n', b'\nHanae, Natsuki\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nMorikawa, Toshiyuki\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n', b'\nKayano, Ai\nJapanese\n', b'\nMamiya, Yasuhiro\nJapanese\n', b'\nKitou, Akari\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nChigira, Kouichi\n\nDirector\n\n', b'\nKuroishi, Hitomi\n\nTheme Song Arrangement, Theme Song Performance, Theme Song Lyrics, Theme Song Composition\n\n', b'\nHilcrhyme\n\nTheme Song Performance\n\n', b'\nHashimoto, Kachou\n\nOriginal Creator\n\n']
