animeTitle	To Heart 2
animeType	TV
animeNumEpisode	13
releaseDate	2005-10-04 00:00:00
endDate	2006-01-03 00:00:00
animeNumMembers	
animeScore	6.5
animeUsers	6292
animeRank	
animePopularity	4068
animeDescription	"Following her graduation from middle school, Konomi Yuzuhara enters the same high school as Takaaki Kono, her childhood friend. As the new school year begins, they meet their childhood friend Tamaki Kosaka, as well as many new accquaintances. Unbeknownst to the group, their encounters with each other will soon lead to many memorable adventures. 

(Source: ANN)"
animeRelated	['To Heart 2', 'To Heart', 'To Heart 2 Special', 'To Heart 2 OVA', 'To Heart 2: Dungeon Travelers']
animeCharacters	['Kousaka, Tamaki', 'Yuzuhara, Konomi', 'Kouno, Takaaki', 'Misora, Lucy Maria', 'Komaki, Manaka', 'Tonami, Yuma', 'Himeyuri, Sango', 'Kusakabe, Yuuki', 'Sasamori, Karin', 'Himeyuri, Ruri']
animeVoices	['Itou, Shizuka', 'Hase, Yurina', 'Fukuyama, Jun', 'Natsuki, Rio', 'Rikimaru, Noriko', 'Nabatame, Hitomi', 'Ishizuka, Sayori', 'Satou, Rina', 'Nakajima, Saki', 'Yoshida, Konami']
animeStaff	[['Aketagawa, Jin', 'Sound Director'], ['Matsuura, Johei', 'Episode Director, Storyboard'], ['Nakase, Rika', 'Script'], ['Suara', 'Theme Song Performance']]
