animeTitle	Joshikousei: Girl's High Specials
animeType	Special
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.49
animeUsers	1699
animeRank	
animePopularity	7433
animeDescription	Bonus episodes on the DVDs featuring the girls on a field trip to Chichibu.
animeRelated	"[""Joshikousei: Girl's High""]"
animeCharacters	['Kouda, Akari', 'Ogawa, Ikue', 'Suzuki, Yuma', 'Satou, Ayano', 'Takahashi, Eriko', 'Himeji, Kyoko', 'Odagiri, Yuuichirou', 'Saionji, Mari']
animeVoices	['Madono, Mitsuaki']
animeStaff	[]
