animeTitle	b'Dokkiri Doctor'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.48
animeUsers	199
animeRank	
animePopularity	
animeDescription	"b""Haruka Nishikikoji is an overweight doctor that never seems to attract any girls. Fate finds a way as he lands a job as a doctor in an elementary school, wherein his workplace can be found on top of the schools' roof and the actual clinic looks like a medieval castle. Just when everything seems to go downhill, a surprise came one day, her first love Koizumi Miyuki, applies as her soon to be nurse."""
animeRelated	[b'Dokkiri Doctor Special']
animeCharacters	[b'Koizumi, Miyuki', b'Nishikikoji, Haruka', b'Abe, Tamotsu', b'Tajima, Kaori', b'Gen, Genda', b'Gargoyle', b'Hongou, Yukihiro', b'Ikeda, Hideko', b'Shibuya, Rokurou', b'Koizumi, Mayumi']
animeVoices	[b'\nKuwashima, Houko\nJapanese\n', b'\nYamadera, Kouichi\nJapanese\n', b'\nItou, Kentarou\nJapanese\n', b'\nMamiya, Kurumi\nJapanese\n', b'\nTsumura, Makoto\nJapanese\n', b'\nAikawa, Rikako\nJapanese\n', b'\nIshikawa, Shizuka\nJapanese\n', b'\nKawasumi, Ayako\nJapanese\n', b'\nOgata, Kenichi\nJapanese\n', b'\nKasai, Ritsuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMizuno, Kazunori\n\nDirector, Episode Director, Storyboard\n\n', b'\nFujimoto, Yoshitaka\n\nEpisode Director\n\n', b'\nNishita, Masayoshi\n\nEpisode Director, Storyboard, Animation Director\n\n', b'\nEnomoto, Akihiro\n\nEpisode Director, Storyboard\n\n']
