animeTitle	Freezing Vibration Specials
animeType	Special
animeNumEpisode	6
releaseDate	2013-12-25 00:00:00
endDate	2014-05-28 00:00:00
animeNumMembers	
animeScore	6.48
animeUsers	10379
animeRank	
animePopularity	3711
animeDescription	Short specials included on the BD/DVD volumes of Freezing Vibration.
animeRelated	['Freezing Vibration']
animeCharacters	['el Bridget, Satellizer', 'Linchen, Rana', 'Fairchild, Chiffon', 'Mably, Elizabeth', 'Aoi, Kazuya', 'Lockharte, Cathy', 'Bonaparte, Charles', 'Elipton, Roxanne', 'Evans, Amelia', 'Moonberg, Youlia']
animeVoices	['Noto, Mamiko', 'Hanazawa, Kana', 'Inoue, Marina', 'Kaida, Yuuko', 'Ichiki, Mitsuhiro', 'Kugimiya, Rie', 'Yamaguchi, Rikako', 'Terakawa, Aimi', 'Mimori, Suzuko', 'Toujou, Hisako']
animeStaff	[['Jewell, Jerry', 'ADR Director'], ['Im, Dal Young', 'Original Creator'], ['Fukunaga, Gen', 'Executive Producer']]
