animeTitle	b'Moetan Specials'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.48
animeUsers	2534
animeRank	
animePopularity	
animeDescription	"b'Moetan DVD-only episodes. \n\n#6: ""The First Date"" \n#13: ""The Supreme Ruler at the End of the Century! The Magical Girls\' Combined Attack"" '"
animeRelated	[b'Moetan']
animeCharacters	[b'Nijihara, Ink', b'Kuroi, Sumi', b'Ah-kun', b'Shiratori, Alice', b'Tezuka, Nao', b'Ka-kun', b'Na-kun', b'Tezuka, Mio', b'Dandy', b'Ruriko']
animeVoices	[b'\nTamura, Yukari\nJapanese\n', b'\nTomatsu, Haruka\nJapanese\n', b'\nOnosaka, Masaya\nJapanese\n', b'\nNazuka, Kaori\nJapanese\n', b'\nUeda, Yuuji\nJapanese\n', b'\nHiyama, Nobuyuki\nJapanese\n', b'\nKaneda, Tomoko\nJapanese\n', b'\nNakao, Eri\nJapanese\n', b'\nNakata, Jouji\nJapanese\n', b'\nMorinaga, Rika\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKawaguchi, Keiichirou\n\nDirector, Episode Director, Storyboard\n\n', b'\nTomatsu, Haruka\n\nTheme Song Performance\n\n', b'\nHata, Aki\n\nTheme Song Lyrics\n\n', b'\nNishio, Kimitake\n\nAnimation Director, Character Design, Chief Animation Director\n\n']
