animeTitle	b'Yuri Seijin Naoko-san (2012)'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.45
animeUsers	5766
animeRank	
animePopularity	
animeDescription	b'Naoko-san is an alien from the planet Yuri, who is plotting to conquer the Earth by yurifying it. Misuzu is a junior high girl and is always troubled by Naoko-san, who lives on the roof of her house.'
animeRelated	[b'Yuri Seijin Naoko-san']
animeCharacters	[b'Naoko-san', b'Misuzu', b'Ryouta', b'Hii-chan']
animeVoices	[b'\nArai, Satomi\nJapanese\n', b'\nHarashima, Akari\nJapanese\n', b'\nKokubun, Yukari\nJapanese\n', b'\nNonaka, Ai\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIwakami, Atsuhiro\n\nProducer\n\n', b'\nTakeuchi, Tetsuya\n\nDirector, Script, Storyboard, Key Animation, Screenplay, Animation Director, Character Design\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nYamashita, Yuu\n\nStoryboard\n\n']
