animeTitle	Komatta Jiisan
animeType	TV
animeNumEpisode	13
releaseDate	2020-04-08 00:00:00
endDate	2020-07-01 00:00:00
animeNumMembers	
animeScore	6.38
animeUsers	1502
animeRank	
animePopularity	7829
animeDescription	"The comedy centers on an old man who pulls stereotypical ikemen (handsome man) actions on similarly old women and makes their hearts flutter. 

(Source: ANN)"
animeRelated	['Komatta Jiisan']
animeCharacters	['Jiisan', 'Baa-san', 'Narrator']
animeVoices	['Hino, Satoshi', 'Minase, Inori', 'Morikawa, Toshiyuki']
animeStaff	[['Namiki, Hiroshi', 'Director'], ['Hino, Satoshi', 'Theme Song Performance']]
