animeTitle	Seikon no Qwaser II
animeType	TV
animeNumEpisode	12
releaseDate	2011-04-12 00:00:00
endDate	2011-06-28 00:00:00
animeNumMembers	121992
animeScore	6.35
animeUsers	54186
animeRank	6909
animePopularity	1387
animeDescription	"Sasha is partnered with Hana as his new Maria. They infiltrate an all-girls academy, forcing Sasha to crossdress, in search of a Qwaser-related artifact called the Magdalena of Thunder which has appeared in one of the students. However, they have some competition in their search of it.

(Source: ANN)"
animeRelated	['Seikon no Qwaser', 'Seikon no Qwaser II Picture Drama']
animeCharacters	['Hell, Alexander Nikolaevich', 'Kurae, Ekaterina', 'Oribe, Mafuyu', 'Yamanobe, Tomo', 'Katsuragi, Hana', 'Beria, Teresa', 'Mitarai, Fumika', 'Oikawa, Urara', 'Elizabeth', 'Tsujidou, Miyuri']
animeVoices	['Sanpei, Yuuko', 'Hirano, Aya', 'Fujimura, Ayumi', 'Toyosaki, Aki', 'Hikasa, Youko', 'Chihara, Minori', 'Hanazawa, Kana', 'Ohara, Sayaka', 'Kawasumi, Ayako']
animeStaff	[['Kaneko, Hiraku', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Namura, Hidetoshi', 'Episode Director, Storyboard, Key Animation'], ['Ueda, Shigeru', 'Episode Director']]
